,datetime,spot_price,strikePrice,T,iv_put,iv_put_percent,iv_call,iv_call_percent,call_iv_prev_change,put_iv_prev_change,sumOfPriceChange
0,2025-06-03 13:23:04,24554.55,24600,0.005721,0.255555,25.56,0.271457,27.15,,,
1,2025-06-03 13:23:08,24554.55,24550,0.005721,0.25554,25.55,0.271862,27.19,0.04,-0.01,0.03
2,2025-06-03 13:24:04,24528.4,24550,0.005719,0.242747,24.27,0.27154,27.15,-0.04,-1.28,-1.32
3,2025-06-03 13:25:03,24533.35,24600,0.005717,0.240315,24.03,0.266239,26.62,-0.53,-0.24,-0.77
4,2025-06-03 13:26:03,24530.65,24550,0.005715,0.242614,24.26,0.261481,26.15,-0.47,0.23,-0.23999999999999996
5,2025-06-03 13:27:04,24533.4,24550,0.005713,0.230555,23.06,0.257008,25.7,-0.45,-1.2,-1.65
6,2025-06-03 13:28:03,24545.35,24600,0.005711,0.233058,23.31,0.25723,25.72,0.02,0.25,0.27
7,2025-06-03 13:29:03,24539.25,24550,0.00571,0.229116,22.91,0.248216,24.82,-0.9,-0.4,-1.3
8,2025-06-03 13:30:04,24541.0,24600,0.005708,0.235377,23.54,0.253743,25.37,0.55,0.63,1.1800000000000002
9,2025-06-03 13:31:03,24550.4,24600,0.005706,0.232416,23.24,0.258788,25.88,0.51,-0.3,0.21000000000000002
10,2025-06-03 13:32:04,24557.0,24550,0.005704,0.227465,22.75,0.257066,25.71,-0.17,-0.49,-0.66
11,2025-06-03 13:33:04,24558.2,24550,0.005702,0.21739,21.74,0.255327,25.53,-0.18,-1.01,-1.19
12,2025-06-03 13:34:03,24560.35,24550,0.0057,0.217457,21.75,0.253466,25.35,-0.18,0.01,-0.16999999999999998
13,2025-06-03 13:35:04,24561.6,24550,0.005698,0.211133,21.11,0.251755,25.18,-0.17,-0.64,-0.81
14,2025-06-03 13:36:03,24570.45,24600,0.005696,0.210644,21.06,0.249774,24.98,-0.2,-0.05,-0.25
15,2025-06-03 13:37:03,24565.45,24550,0.005694,0.209646,20.96,0.24771,24.77,-0.21,-0.1,-0.31
16,2025-06-03 13:38:04,24560.3,24550,0.005692,0.210567,21.06,0.246892,24.69,-0.08,0.1,0.020000000000000004
17,2025-06-03 13:39:03,24561.8,24550,0.005691,0.211872,21.19,0.244867,24.49,-0.2,0.13,-0.07
18,2025-06-03 13:40:04,24561.55,24550,0.005689,0.217428,21.74,0.240569,24.06,-0.43,0.55,0.12000000000000005
19,2025-06-03 13:41:03,24564.15,24550,0.005687,0.206481,20.65,0.246089,24.61,0.55,-1.09,-0.54
20,2025-06-03 13:42:03,24553.5,24550,0.005685,0.210012,21.0,0.232948,23.29,-1.32,0.35,-0.9700000000000001
21,2025-06-03 13:43:03,24543.7,24550,0.005683,0.20803,20.8,0.233537,23.35,0.06,-0.2,-0.14
22,2025-06-03 13:44:03,24547.45,24550,0.005681,0.20666,20.67,0.235844,23.58,0.23,-0.13,0.1
23,2025-06-03 13:45:04,24539.9,24550,0.005679,0.204868,20.49,0.233175,23.32,-0.26,-0.18,-0.44
24,2025-06-03 13:46:03,24544.5,24550,0.005677,0.203713,20.37,0.232369,23.24,-0.08,-0.12,-0.2
25,2025-06-03 13:47:03,24542.7,24550,0.005675,0.198711,19.87,0.232984,23.3,0.06,-0.5,-0.44
26,2025-06-03 13:48:03,24547.95,24550,0.005673,0.198765,19.88,0.227719,22.77,-0.53,0.01,-0.52
27,2025-06-03 13:49:03,24537.45,24550,0.005672,0.194882,19.49,0.224646,22.46,-0.31,-0.39,-0.7
28,2025-06-03 13:50:03,24533.45,24550,0.00567,0.191291,19.13,0.226313,22.63,0.17,-0.36,-0.18999999999999997
29,2025-06-03 13:51:03,24542.25,24550,0.005668,0.18891,18.89,0.226475,22.65,0.02,-0.24,-0.22
30,2025-06-03 13:52:03,24545.4,24550,0.005666,0.186733,18.67,0.219082,21.91,-0.74,-0.22,-0.96
31,2025-06-03 13:53:03,24542.2,24650,0.005664,0.182334,18.23,0.219236,21.92,0.01,-0.44,-0.43
32,2025-06-03 13:54:04,24547.85,24550,0.005662,0.184688,18.47,0.216361,21.64,-0.28,0.24,-0.040000000000000036
33,2025-06-03 13:55:04,24551.95,24550,0.00566,0.185264,18.53,0.217854,21.79,0.15,0.06,0.21
34,2025-06-03 13:56:03,24557.85,24550,0.005658,0.183541,18.35,0.222601,22.26,0.47,-0.18,0.29
35,2025-06-03 13:57:04,24567.25,24550,0.005656,0.186324,18.63,0.218324,21.83,-0.43,0.28,-0.14999999999999997
36,2025-06-03 13:58:03,24561.25,24600,0.005654,0.18703,18.7,0.220393,22.04,0.21,0.07,0.28
37,2025-06-03 13:59:04,24568.2,24600,0.005652,0.184506,18.45,0.218311,21.83,-0.21,-0.25,-0.45999999999999996
38,2025-06-03 14:00:04,24568.15,24550,0.005651,0.183156,18.32,0.214164,21.42,-0.41,-0.13,-0.54
39,2025-06-03 14:01:03,24570.25,24550,0.005649,0.17971,17.97,0.215888,21.59,0.17,-0.35,-0.17999999999999997
40,2025-06-03 14:02:04,24568.8,24550,0.005647,0.182048,18.2,0.215281,21.53,-0.06,0.23,0.17
41,2025-06-03 14:03:03,24567.95,24550,0.005645,0.181821,18.18,0.215893,21.59,0.06,-0.02,0.039999999999999994
42,2025-06-03 14:04:03,24565.35,24550,0.005643,0.183036,18.3,0.210665,21.07,-0.52,0.12,-0.4
43,2025-06-03 14:05:04,24564.95,24550,0.005641,0.180515,18.05,0.212742,21.27,0.2,-0.25,-0.04999999999999999
